Ticker,Company,composite_score,percentile,rating
ADANIENT.NS,Adani Enterprises,0.014028627063510768,0.9583333333333334,10
BAJFINANCE.NS,Bajaj Finance,0.01381293684056133,0.9375,10
INDUSINDBK.NS,IndusInd Bank,0.024613704736769416,1.0,10
HINDUNILVR.NS,Hindustan Unilever,0.013328413081337809,0.9166666666666666,10
SHRIRAMFIN.NS,Shriram Finance,0.02107961986036782,0.9791666666666666,10
BPCL.NS,Bharat Petroleum,0.012908442711807128,0.8541666666666666,9
BAJAJFINSV.NS,Bajaj Finserv,0.013245430679974258,0.8958333333333334,9
ADANIPORTS.NS,Adani Ports and SEZ,0.013105765335099105,0.875,9
SUNPHARMA.NS,Sun Pharmaceutical,0.012590814126492742,0.8125,9
BHARTIARTL.NS,Bharti Airtel,0.012673235988081698,0.8333333333333334,9
SBILIFE.NS,SBI Life Insurance,0.012527484594178403,0.7708333333333334,8
NESTLEIND.NS,Nestle India,0.01230096333500465,0.7083333333333334,8
WIPRO.NS,Wipro,0.012312768042758824,0.7291666666666666,8
HCLTECH.NS,HCL Technologies,0.012357185426903502,0.75,8
DRREDDY.NS,Dr. Reddy's Laboratories,0.01256210818032295,0.7916666666666666,8
INFY.NS,Infosys,0.01211813887996248,0.6458333333333334,7
HDFCBANK.NS,HDFC Bank,0.012106558599812243,0.625,7
SBIN.NS,State Bank of India,0.012064304534945502,0.6041666666666666,7
POWERGRID.NS,Power Grid Corporation,0.012268027465314168,0.6875,7
HINDALCO.NS,Hindalco Industries,0.012233226531610108,0.6666666666666666,7
AXISBANK.NS,Axis Bank,0.012046714424891011,0.5833333333333334,6
TECHM.NS,Tech Mahindra,0.011828735512174882,0.5416666666666666,6
TATACONSUM.NS,Tata Consumer Products,0.011786402528443306,0.5208333333333334,6
CIPLA.NS,Cipla,0.011997740368482742,0.5625,6
ITC.NS,ITC,0.011632731397554214,0.5,5
TATASTEEL.NS,Tata Steel,0.011596696397507336,0.4791666666666667,5
ONGC.NS,ONGC,0.011515718765906329,0.4375,5
MARUTI.NS,Maruti Suzuki,0.011538075006658183,0.4583333333333333,5
HDFCLIFE.NS,HDFC Life Insurance,0.011421595804848273,0.4166666666666667,5
BAJAJ-AUTO.NS,Bajaj Auto,0.011300194923075341,0.375,4
EICHERMOT.NS,Eicher Motors,0.011233317049505016,0.3541666666666667,4
ASIANPAINT.NS,Asian Paints,0.011153227051960729,0.3333333333333333,4
KOTAKBANK.NS,Kotak Mahindra Bank,0.011140179506026703,0.3125,4
ULTRACEMCO.NS,UltraTech Cement,0.011401112675481167,0.3958333333333333,4
BRITANNIA.NS,Britannia Industries,0.010986698639896639,0.20833333333333334,3
APOLLOHOSP.NS,Apollo Hospitals,0.01106380284697649,0.2708333333333333,3
RELIANCE.NS,Reliance Industries,0.010993254868995458,0.22916666666666666,3
DIVISLAB.NS,Divi's Laboratories,0.011008826621932064,0.25,3
HEROMOTOCO.NS,Hero MotoCorp,0.011093024144040392,0.2916666666666667,3
GRASIM.NS,Grasim Industries,0.010470158548411854,0.125,2
TCS.NS,Tata Consultancy Services,0.01063262697042254,0.14583333333333334,2
M&M.NS,Mahindra & Mahindra,0.010791662818255183,0.1875,2
JSWSTEEL.NS,JSW Steel,0.010689117080622718,0.16666666666666666,2
LT.NS,Larsen & Toubro,0.010370072142344986,0.10416666666666667,2
COALINDIA.NS,Coal India,0.009632633283693558,0.020833333333333332,1
ICICIBANK.NS,ICICI Bank,0.010307210380480557,0.08333333333333333,1
NTPC.NS,NTPC,0.010264239280190091,0.0625,1
TITAN.NS,Titan Company,0.010259984686130092,0.041666666666666664,1
